,Date,Hour,Offense Type,Beat,Premise,Type,Suffix,Offenses,address
4102,01/28/2018,16,AutoTheft,18F50,Apartment Parking Lot,-,-,1,"7200 BELLERIVE DR,Houston, TX"
4103,01/28/2018,8,Theft,18F50,Apartment Parking Lot,-,-,1,"7500 CLAREWOOD DR,Houston, TX"
4104,01/29/2018,13,Theft,18F50,Apartment Parking Lot,-,-,1,"6100 MARINETTE DR,Houston, TX"
4105,01/29/2018,18,AutoTheft,18F50,Vehicle/Auto Sales/Lease/Auto Parts Store,DR,-,1,"9200 WESTPARK,Houston, TX"
4106,01/29/2018,21,Theft,18F50,Other Parking Lot,RD,-,1,"9600 WESTHEIMER RD,Houston, TX"
4107,01/29/2018,11,AutoTheft,18F50,"Road, Street, or Sidewalk",ST,-,1,"8900 BELLFLOWER,Houston, TX"
4108,01/30/2018,19,Theft,18F50,Other Parking Lot,-,-,1,"9600 VAL VERDE,Houston, TX"
4109,01/30/2018,9,Burglary,18F50,Auto Repair,-,-,1,"3700 CROSSVIEW DR,Houston, TX"
4110,01/30/2018,7,Burglary,18F50,Commercial Building,DR,-,1,"8300 WESTGLEN,Houston, TX"
4111,01/31/2018,20,Theft,18F50,Restaurant or Cafeteria Parking Lot,-,-,1,"6700 SOUTHWEST FWY OB,Houston, TX"
4112,01/31/2018,14,Burglary,18F50,Commercial Parking Lot or Garage,-,-,1,"7600 DE MOSS DR,Houston, TX"
4113,01/31/2018,10,Theft,18F50,Vehicle/Auto Sales/Lease/Auto Parts Store,DR,-,1,"9200 CLAREWOOD,Houston, TX"
4114,01/31/2018,7,Theft,18F50,Hotel or Motel Parking Lot,ST,N,1,"700 LINDA,Houston, TX"
4115,01/31/2018,23,Theft,18F50,Restaurant or Cafeteria Parking Lot,ST,-,1,"5900 KANSAS,Houston, TX"
4116,01/31/2018,22,Aggravated Assault,18F50,Highway or Freeway,CT,-,1,"4600 KINGSBERRY,Houston, TX"
4117,09/07/2017,16,Rape,18F50,Apartment,-,-,1,"7600 HARWIN DR,Houston, TX"
4118,01/01/2018,4,Aggravated Assault,18F60,Apartment,BLVD,-,1,"9100 BELLAIRE BLVD,Houston, TX"
4119,01/01/2018,6,Burglary,18F60,"Vacant Single Occ Resd(House,Townhs,Dplex)",DR,-,1,"8000 SANDS POINT,Houston, TX"
4120,01/01/2018,14,Theft,18F60,Restaurant or Cafeteria,RD,-,1,"8100 S GESSNER RD,Houston, TX"
4121,01/01/2018,14,Robbery,18F60,Restaurant or Cafeteria Parking Lot,-,-,1,"8100 SOUTHWEST FWY OB,Houston, TX"
4122,01/01/2018,17,AutoTheft,18F60,Restaurant or Cafeteria Parking Lot,-,-,1,"8100 SOUTHWEST FWY OB,Houston, TX"
4123,01/02/2018,15,Theft,18F60,"Pawn, Resale Shop, or Flea Market",ST,S,1,"6600 GESSNER,Houston, TX"
4124,01/02/2018,10,Theft,18F60,"Road, Street, or Sidewalk",ST,-,1,"8800 JACKWOOD ST,Houston, TX"
4125,01/02/2018,8,AutoTheft,18F60,Apartment Parking Lot,RD,-,1,"6000 S GESSNER RD,Houston, TX"
4126,01/02/2018,8,AutoTheft,18F60,Apartment Parking Lot,ST,-,1,"8800 BEECHNUT ST,Houston, TX"
4127,01/03/2018,16,Robbery,18F60,Residence or House,-,-,1,"7000 PYRON WAY,Houston, TX"
4128,01/03/2018,13,Theft,18F60,"Furniture, Appliances, Radios, TV Store",DR,-,1,"9400 HARWIN,Houston, TX"
